Time(s)	UserID	Position(x,y)	SelectedAP	Throughput(Mbps)	UserType
5.0	0	(4.94911,6.13805)	0	150	Existing
5.0	1	(10.4049,6.72781)	0	150	Existing
5.0	2	(1.00694,11.4635)	0	130	Existing
5.0	3	(9.40315,11.9445)	1	100	Existing
5.0	4	(21.6182,4.27347)	2	30	Existing
5.0	5	(24.1803,2.25227)	2	6.5	Existing
5.0	6	(5.12127,19.8665)	3	65	Existing
5.0	7	(11.5543,19.5544)	3	100	Existing
5.0	8	(5.19657,22.9803)	3	65	Existing
5.0	9	(20.1018,17.1573)	1	130	New
5.0	10	(24.8779,21.3069)	3	150	New
5.0	11	(18.5062,24.9029)	3	150	New
5.0	12	(26.1694,24.1233)	3	150	New
5.0	13	(13.9055,6.65974)	4	130	New
5.0	14	(20.3125,13.5643)	0	100	Existing
5.0	15	(5.04032,17.8558)	0	100	Existing
5.0	16	(22.3912,12.2163)	0	65	Existing
5.0	17	(14.1965,26.0301)	0	65	Existing
