Time(s)	UserID	Position(x,y)	SelectedAP	ExpectedThroughput(Mbps)	CurrentThroughput(Mbps)	Status
1	0	(25,5)	0	100	0	MOVING
2	0	(25,5)	0	100	80	REACHED
7	0	(25,5)	0	100	80	REACHED
12	0	(25,5)	0	100	80	REACHED
17	0	(25,5)	0	100	80	REACHED
22	0	(25,5)	0	100	80	REACHED
27	0	(25,5)	0	100	80	REACHED
32	0	(25,5)	0	100	80	REACHED
37	0	(25,5)	0	100	80	REACHED
42	0	(25,5)	0	100	80	REACHED
47	0	(25,5)	0	100	80	REACHED
52	0	(25,5)	0	100	80	REACHED
57	0	(25,5)	0	100	80	REACHED
