Time(s)	UserID	Position(x,y)	SelectedAP	Throughput(Mbps)	UserType
5.0	0	(4.94911,6.13805)	0	150	Existing
5.0	1	(5.4049,11.7278)	0	150	Existing
5.0	2	(6.00694,11.4635)	0	150	Existing
5.0	3	(19.4032,6.94449)	1	150	Existing
5.0	4	(6.61823,19.2735)	2	150	Existing
5.0	5	(4.18032,22.2523)	2	150	Existing
5.0	6	(20.1213,19.8665)	3	150	Existing
5.0	7	(21.5543,24.5544)	3	150	Existing
5.0	8	(25.1966,22.9803)	3	150	Existing
5.0	9	(15.1018,12.1573)	4	130	New
5.0	10	(4.87792,6.30694)	4	150	New
5.0	11	(3.50616,9.90287)	4	150	New
5.0	12	(11.1694,9.1233)	4	150	New
5.0	13	(21.9055,3.65974)	1	150	New
5.0	14	(7.31246,21.5643)	0	100	Existing
5.0	15	(2.04032,24.8558)	0	65	Existing
5.0	16	(20.3912,17.2163)	0	65	Existing
5.0	17	(19.1965,26.0301)	0	30	Existing
