クライアント数,重ユーザ数,軽ユーザ数,重ユーザ割合,シミュレーション時間,チャネル使用率,平均スループット,平均遅延,パケット損失率,タイムスタンプ
10,0,10,0,10,59.8085,10.1207,12.2428,0.648,20251111_092443_t10.0s
10,1,9,10,10,65.0106,12.1557,17.9563,0.558889,20251111_092714_t10.0s
