Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate
myargo,User0,15.00,130.00,6.00,AP0,194.85,180.22,8.12
myargo,User1,15.00,130.00,12.00,AP0,194.85,180.22,8.12
myargo,User0,15.00,130.00,2.40,AP0,194.85,180.22,8.12
myargo,User1,15.00,130.00,14.70,AP0,194.85,180.22,8.12
myargo,User0,15.00,130.00,12.00,AP0,194.85,146.27,33.21
myargo,User1,15.00,130.00,15.30,AP0,194.85,146.27,33.21
myargo,User0,15.00,130.00,17.70,AP0,194.85,167.90,16.05
myargo,User1,15.00,130.00,4.20,AP0,194.85,167.90,16.05
myargo,User0,15.00,130.00,13.20,AP0,194.85,146.27,33.21
myargo,User1,15.00,130.00,11.10,AP0,194.85,146.27,33.21
myargo,User0,15.00,130.00,5.10,AP0,194.85,167.90,16.05
myargo,User1,15.00,130.00,12.00,AP0,194.85,167.90,16.05
myargo,User0,15.00,130.00,5.40,AP0,194.85,180.22,8.12
myargo,User1,15.00,130.00,11.40,AP0,194.85,180.22,8.12
myargo,User0,15.00,130.00,6.00,AP0,194.85,183.40,6.25
myargo,User1,15.00,130.00,4.20,AP0,194.85,183.40,6.25
myargo,User0,15.00,130.00,17.70,AP0,194.85,159.90,21.86
myargo,User1,15.00,130.00,5.40,AP0,194.85,159.90,21.86
myargo,User0,15.00,130.00,9.90,AP0,194.85,161.98,20.30
myargo,User1,15.00,130.00,9.00,AP0,194.85,161.98,20.30
myargo,User0,15.00,130.00,16.50,AP0,194.85,127.28,53.08
myargo,User1,15.00,130.00,15.60,AP0,194.85,127.28,53.08
myargo,User0,15.00,130.00,5.70,AP0,194.85,189.36,2.90
myargo,User1,15.00,130.00,1.80,AP0,194.85,189.36,2.90
myargo,User0,15.00,130.00,16.80,AP0,194.85,161.98,20.30
myargo,User1,15.00,130.00,10.80,AP0,194.85,161.98,20.30
myargo,User0,15.00,130.00,10.20,AP0,194.85,159.90,21.86
myargo,User1,15.00,130.00,15.30,AP0,194.85,159.90,21.86
myargo,User0,15.00,130.00,15.30,AP0,194.85,173.43,12.35
myargo,User1,15.00,130.00,2.10,AP0,194.85,173.43,12.35
myargo,User0,15.00,130.00,12.60,AP0,194.85,161.98,20.30
myargo,User1,15.00,130.00,13.20,AP0,194.85,161.98,20.30
myargo,User0,15.00,130.00,11.70,AP0,194.85,146.27,33.21
myargo,User1,15.00,130.00,16.80,AP0,194.85,146.27,33.21
myargo,User0,15.00,130.00,15.30,AP0,194.85,127.28,53.08
myargo,User1,15.00,130.00,21.90,AP0,194.85,127.28,53.08
myargo,User0,15.00,130.00,4.50,AP0,194.85,154.29,26.29
myargo,User1,15.00,130.00,15.64,AP0,194.85,154.29,26.29
myargo,User0,15.00,130.00,13.20,AP0,194.85,161.98,20.30
myargo,User1,15.00,130.00,6.90,AP0,194.85,161.98,20.30
myargo,User0,15.00,130.00,7.50,AP0,194.85,173.43,12.35
myargo,User1,15.00,130.00,13.80,AP0,194.85,173.43,12.35
myargo,User0,15.00,130.00,16.20,AP0,194.85,146.27,33.21
myargo,User1,15.00,130.00,17.70,AP0,194.85,146.27,33.21
myargo,User0,15.00,130.00,16.50,AP0,194.85,146.27,33.21
myargo,User1,15.00,130.00,13.50,AP0,194.85,146.27,33.21
myargo,User0,15.00,130.00,6.30,AP0,194.85,173.43,12.35
myargo,User1,15.00,130.00,11.70,AP0,194.85,173.43,12.35
myargo,User0,15.00,130.00,17.40,AP0,194.85,146.27,33.21
myargo,User1,15.00,130.00,14.70,AP0,194.85,146.27,33.21
myargo,User0,15.00,130.00,9.60,AP0,194.85,180.22,8.12
myargo,User1,15.00,130.00,0.90,AP0,194.85,180.22,8.12
myargo,User0,15.00,130.00,6.60,AP0,194.85,173.43,12.35
myargo,User1,15.00,130.00,9.60,AP0,194.85,173.43,12.35
myargo,User0,15.00,130.00,15.60,AP0,194.85,146.27,33.21
myargo,User1,15.00,130.00,20.70,AP0,194.85,146.27,33.21
