Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User0,15.00,N/A,7.41,AP2,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User1,15.00,N/A,10.76,AP3,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User2,15.00,N/A,2.05,AP2,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User3,15.00,N/A,2.85,AP2,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User4,15.00,N/A,5.62,AP3,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User5,15.00,N/A,14.36,AP3,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User6,15.00,N/A,4.43,AP0,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User7,15.00,N/A,7.63,AP0,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User8,15.00,N/A,7.26,AP2,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User9,15.00,N/A,10.60,AP0,1849.26,1829.55,1.08,174.76,170.00,344.75
random,User0,15.00,N/A,6.51,AP1,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User1,15.00,N/A,11.01,AP0,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User2,15.00,N/A,11.42,AP3,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User3,15.00,N/A,5.96,AP0,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User4,15.00,N/A,8.59,AP3,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User5,15.00,N/A,9.87,AP2,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User6,15.00,N/A,9.10,AP1,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User7,15.00,N/A,10.43,AP0,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User8,15.00,N/A,0.79,AP1,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User9,15.00,N/A,14.78,AP0,1861.85,1816.94,2.47,164.65,137.63,302.28
random,User0,15.00,N/A,4.66,AP3,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User1,15.00,N/A,14.80,AP3,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User2,15.00,N/A,4.86,AP0,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User3,15.00,N/A,3.08,AP0,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User4,15.00,N/A,11.01,AP0,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User5,15.00,N/A,4.01,AP3,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User6,15.00,N/A,11.02,AP0,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User7,15.00,N/A,2.55,AP0,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User8,15.00,N/A,10.99,AP2,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User9,15.00,N/A,8.69,AP0,1825.92,1814.24,0.64,180.38,154.14,334.52
random,User0,15.00,N/A,1.75,AP0,1800.21,1799.01,0.07,179.08,151.19,330.28
random,User1,15.00,N/A,0.87,AP0,1800.21,1799.01,0.07,179.08,151.19,330.28
random,User2,15.00,N/A,1.71,AP0,1800.21,1799.01,0.07,179.08,151.19,330.28
random,User3,15.00,N/A,2.49,AP0,1800.21,1799.01,0.07,179.08,151.19,330.28
random,User4,15.00,N/A,5.61,AP0,1800.21,1799.01,0.07,179.08,151.19,330.28
random,User5,15.00,N/A,7.59,AP1,1800.21,1799.01,0.07,179.08,151.19,330.28
random,User6,15.00,N/A,2.51,AP1,1800.21,1799.01,0.07,179.08,151.19,330.28
random,User7,15.00,N/A,11.69,AP3,1800.21,1799.01,0.07,179.08,151.19,330.28
random,User8,15.00,N/A,5.12,AP0,1800.21,1799.01,0.07,179.08,151.19,330.28
