Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User0,5.00,N/A,0.11,AP1,240.76,233.26,3.22,44.93,16.30,61.23
random,User1,5.00,N/A,2.83,AP0,240.76,233.26,3.22,44.93,16.30,61.23
random,User0,5.00,N/A,2.18,AP0,223.51,214.12,4.39,48.83,16.93,65.77
random,User1,5.00,N/A,3.19,AP1,223.51,214.12,4.39,48.83,16.93,65.77
random,User0,5.00,N/A,3.93,AP0,147.71,145.92,1.23,35.70,55.54,91.25
random,User1,5.00,N/A,0.40,AP0,147.71,145.92,1.23,35.70,55.54,91.25
random,User0,5.00,N/A,0.73,AP0,150.33,150.33,0.00,34.77,24.92,59.69
random,User1,5.00,N/A,0.43,AP0,150.33,150.33,0.00,34.77,24.92,59.69
random,User0,5.00,N/A,3.37,AP0,149.33,149.33,0.00,43.35,13.36,56.71
random,User1,5.00,N/A,1.23,AP0,149.33,149.33,0.00,43.35,13.36,56.71
random,User0,5.00,N/A,1.02,AP0,149.33,149.33,0.00,35.13,19.22,54.35
random,User1,5.00,N/A,1.34,AP0,149.33,149.33,0.00,35.13,19.22,54.35
random,User0,5.00,N/A,0.35,AP0,143.21,143.21,0.00,76.84,29.81,106.65
random,User1,5.00,N/A,3.71,AP0,143.21,143.21,0.00,76.84,29.81,106.65
random,User0,5.00,N/A,1.66,AP0,143.57,145.92,-1.61,26.68,46.74,73.43
random,User1,5.00,N/A,2.61,AP0,143.57,145.92,-1.61,26.68,46.74,73.43
random,User0,5.00,N/A,4.06,AP1,233.26,233.26,0.00,24.31,36.88,61.19
random,User1,5.00,N/A,0.18,AP0,233.26,233.26,0.00,24.31,36.88,61.19
random,User0,5.00,N/A,1.88,AP0,143.57,143.21,0.25,70.33,45.89,116.23
random,User1,5.00,N/A,1.70,AP0,143.57,143.21,0.25,70.33,45.89,116.23
random,User0,5.00,N/A,3.84,AP0,137.83,140.90,-2.18,43.94,36.64,80.58
random,User1,5.00,N/A,2.84,AP0,137.83,140.90,-2.18,43.94,36.64,80.58
random,User0,5.00,N/A,1.25,AP0,146.84,146.84,0.00,45.42,25.31,70.74
random,User1,5.00,N/A,3.27,AP0,146.84,146.84,0.00,45.42,25.31,70.74
random,User0,5.00,N/A,4.84,AP0,145.92,147.71,-1.21,33.83,46.77,80.60
random,User1,5.00,N/A,3.41,AP0,145.92,147.71,-1.21,33.83,46.77,80.60
random,User0,5.00,N/A,1.51,AP0,146.84,146.84,0.00,44.33,35.37,79.70
random,User1,5.00,N/A,2.96,AP0,146.84,146.84,0.00,44.33,35.37,79.70
random,User0,5.00,N/A,3.55,AP0,138.89,138.89,0.00,70.52,74.08,144.59
random,User1,5.00,N/A,0.01,AP0,138.89,138.89,0.00,70.52,74.08,144.59
random,User0,5.00,N/A,4.99,AP0,143.21,143.57,-0.25,49.52,26.01,75.53
random,User1,5.00,N/A,4.48,AP0,143.21,143.57,-0.25,49.52,26.01,75.53
random,User0,5.00,N/A,4.65,AP0,137.83,143.57,-4.00,29.51,68.16,97.67
random,User1,5.00,N/A,4.44,AP0,137.83,143.57,-4.00,29.51,68.16,97.67
random,User0,5.00,N/A,1.95,AP0,143.57,145.60,-1.39,41.07,65.75,106.82
random,User1,5.00,N/A,2.88,AP0,143.57,145.60,-1.39,41.07,65.75,106.82
random,User0,5.00,N/A,1.87,AP0,137.83,140.90,-2.18,46.71,87.89,134.60
random,User1,5.00,N/A,1.78,AP0,137.83,140.90,-2.18,46.71,87.89,134.60
random,User0,5.00,N/A,4.78,AP0,145.92,147.71,-1.21,35.07,70.08,105.15
random,User1,5.00,N/A,2.39,AP0,145.92,147.71,-1.21,35.07,70.08,105.15
random,User0,5.00,N/A,1.43,AP0,149.33,145.92,2.34,13.73,28.22,41.96
random,User1,5.00,N/A,3.11,AP0,149.33,145.92,2.34,13.73,28.22,41.96
random,User0,5.00,N/A,2.08,AP0,143.21,143.21,0.00,52.26,56.27,108.52
random,User1,5.00,N/A,0.14,AP0,143.21,143.21,0.00,52.26,56.27,108.52
random,User0,5.00,N/A,2.30,AP0,143.21,143.21,0.00,57.78,60.95,118.72
random,User1,5.00,N/A,3.26,AP0,143.21,143.21,0.00,57.78,60.95,118.72
random,User0,5.00,N/A,4.69,AP0,146.84,144.61,1.54,42.04,17.26,59.29
random,User1,5.00,N/A,4.80,AP0,146.84,144.61,1.54,42.04,17.26,59.29
random,User0,5.00,N/A,0.37,AP0,147.71,147.71,0.00,14.16,25.79,39.95
random,User1,5.00,N/A,2.85,AP0,147.71,147.71,0.00,14.16,25.79,39.95
random,User0,5.00,N/A,4.60,AP0,145.60,146.84,-0.84,42.69,22.66,65.35
random,User1,5.00,N/A,0.42,AP0,145.60,146.84,-0.84,42.69,22.66,65.35
random,User0,5.00,N/A,2.78,AP0,140.90,140.90,0.00,16.20,93.71,109.91
random,User1,5.00,N/A,2.07,AP0,140.90,140.90,0.00,16.20,93.71,109.91
random,User0,5.00,N/A,3.70,AP0,143.57,145.92,-1.61,20.50,40.47,60.98
random,User1,5.00,N/A,3.53,AP0,143.57,145.92,-1.61,20.50,40.47,60.98
random,User0,5.00,N/A,2.06,AP0,145.92,145.92,0.00,16.03,74.02,90.06
random,User1,5.00,N/A,1.99,AP0,145.92,145.92,0.00,16.03,74.02,90.06
random,User0,5.00,N/A,0.57,AP0,223.51,223.51,0.00,31.18,40.39,71.58
random,User1,5.00,N/A,1.66,AP1,223.51,223.51,0.00,31.18,40.39,71.58
random,User0,5.00,N/A,1.34,AP0,145.92,145.92,0.00,27.51,37.35,64.86
random,User1,5.00,N/A,3.78,AP0,145.92,145.92,0.00,27.51,37.35,64.86
random,User0,5.00,N/A,2.69,AP0,150.33,150.33,0.00,21.47,18.43,39.89
random,User1,5.00,N/A,0.52,AP0,150.33,150.33,0.00,21.47,18.43,39.89
random,User0,5.00,N/A,3.25,AP0,143.57,143.57,0.00,23.45,24.43,47.88
random,User1,5.00,N/A,1.31,AP0,143.57,143.57,0.00,23.45,24.43,47.88
random,User0,5.00,N/A,1.59,AP0,143.21,144.61,-0.97,64.43,55.04,119.48
random,User1,5.00,N/A,4.21,AP0,143.21,144.61,-0.97,64.43,55.04,119.48
random,User0,5.00,N/A,4.21,AP1,233.26,223.05,4.58,30.55,28.66,59.21
random,User1,5.00,N/A,2.10,AP0,233.26,223.05,4.58,30.55,28.66,59.21
random,User0,5.00,N/A,0.98,AP1,223.51,223.51,0.00,30.14,52.20,82.34
random,User1,5.00,N/A,1.33,AP0,223.51,223.51,0.00,30.14,52.20,82.34
random,User0,5.00,N/A,2.81,AP1,240.76,229.89,4.72,48.72,28.32,77.04
random,User1,5.00,N/A,2.55,AP0,240.76,229.89,4.72,48.72,28.32,77.04
random,User0,5.00,N/A,3.04,AP0,233.26,233.26,0.00,67.38,31.14,98.52
random,User1,5.00,N/A,1.09,AP1,233.26,233.26,0.00,67.38,31.14,98.52
random,User0,5.00,N/A,0.69,AP0,143.57,143.57,0.00,45.71,62.99,108.69
random,User1,5.00,N/A,2.11,AP0,143.57,143.57,0.00,45.71,62.99,108.69
random,User0,5.00,N/A,0.02,AP0,145.92,145.92,0.00,30.56,34.18,64.74
random,User1,5.00,N/A,0.04,AP0,145.92,145.92,0.00,30.56,34.18,64.74
random,User0,5.00,N/A,1.67,AP1,240.76,233.26,3.22,32.48,17.33,49.81
random,User1,5.00,N/A,4.97,AP0,240.76,233.26,3.22,32.48,17.33,49.81
random,User0,5.00,N/A,3.56,AP0,143.57,145.92,-1.61,26.19,32.17,58.36
random,User1,5.00,N/A,3.03,AP0,143.57,145.92,-1.61,26.19,32.17,58.36
random,User0,5.00,N/A,1.89,AP0,147.71,149.33,-1.09,31.12,41.13,72.25
random,User1,5.00,N/A,4.04,AP0,147.71,149.33,-1.09,31.12,41.13,72.25
random,User0,5.00,N/A,2.12,AP0,147.71,147.71,0.00,48.34,24.63,72.97
random,User1,5.00,N/A,1.01,AP0,147.71,147.71,0.00,48.34,24.63,72.97
random,User0,5.00,N/A,1.84,AP0,144.61,143.21,0.98,71.08,28.63,99.71
random,User1,5.00,N/A,4.42,AP0,144.61,143.21,0.98,71.08,28.63,99.71
random,User0,5.00,N/A,0.64,AP0,143.57,143.57,0.00,33.00,89.05,122.05
