Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,CenterX,CenterY,VarianceX,VarianceY,TotalPositionVariance
random,User0,15.00,90.00,6.00,AP0,425.20,369.20,15.17,48.83,51.75,1492.93,1239.26,2732.19
random,User1,15.00,90.00,0.30,AP0,425.20,369.20,15.17,48.83,51.75,1492.93,1239.26,2732.19
random,User2,15.00,90.00,1.80,AP0,425.20,369.20,15.17,48.83,51.75,1492.93,1239.26,2732.19
random,User3,15.00,90.00,12.00,AP0,425.20,369.20,15.17,48.83,51.75,1492.93,1239.26,2732.19
random,User0,15.00,90.00,1.20,AP0,437.20,369.20,18.42,49.04,51.00,1483.22,1291.28,2774.50
random,User1,15.00,90.00,0.00,AP0,437.20,369.20,18.42,49.04,51.00,1483.22,1291.28,2774.50
random,User2,15.00,90.00,0.00,AP0,437.20,369.20,18.42,49.04,51.00,1483.22,1291.28,2774.50
random,User3,15.00,90.00,14.10,AP0,437.20,369.20,18.42,49.04,51.00,1483.22,1291.28,2774.50
random,User0,15.00,90.00,1.80,AP0,369.20,369.20,0.00,48.72,51.78,1507.64,1243.04,2750.68
random,User1,15.00,90.00,3.30,AP0,369.20,369.20,0.00,48.72,51.78,1507.64,1243.04,2750.68
random,User2,15.00,90.00,5.40,AP0,369.20,369.20,0.00,48.72,51.78,1507.64,1243.04,2750.68
random,User3,15.00,90.00,1.80,AP0,369.20,369.20,0.00,48.72,51.78,1507.64,1243.04,2750.68
random,User0,15.00,90.00,1.50,AP0,48.36,369.20,-86.90,48.99,51.06,1492.75,1285.74,2778.50
random,User1,15.00,90.00,5.70,AP1,48.36,369.20,-86.90,48.99,51.06,1492.75,1285.74,2778.50
random,User2,15.00,90.00,8.10,AP0,48.36,369.20,-86.90,48.99,51.06,1492.75,1285.74,2778.50
random,User3,15.00,90.00,1.20,AP0,48.36,369.20,-86.90,48.99,51.06,1492.75,1285.74,2778.50
random,User0,15.00,90.00,0.00,AP0,369.20,369.20,0.00,48.89,51.49,1496.03,1260.71,2756.73
random,User1,15.00,90.00,2.40,AP0,369.20,369.20,0.00,48.89,51.49,1496.03,1260.71,2756.73
random,User2,15.00,90.00,2.70,AP0,369.20,369.20,0.00,48.89,51.49,1496.03,1260.71,2756.73
random,User3,15.00,90.00,5.10,AP0,369.20,369.20,0.00,48.89,51.49,1496.03,1260.71,2756.73
random,User0,15.00,90.00,3.30,AP0,369.20,369.20,0.00,48.23,51.58,1548.33,1254.18,2802.52
random,User1,15.00,90.00,0.00,AP0,369.20,369.20,0.00,48.23,51.58,1548.33,1254.18,2802.52
random,User2,15.00,90.00,0.00,AP0,369.20,369.20,0.00,48.23,51.58,1548.33,1254.18,2802.52
random,User3,15.00,90.00,0.00,AP0,369.20,369.20,0.00,48.23,51.58,1548.33,1254.18,2802.52
random,User0,15.00,90.00,5.10,AP0,89.35,369.20,-75.80,49.13,50.79,1490.52,1307.80,2798.32
random,User1,15.00,90.00,0.00,AP0,89.35,369.20,-75.80,49.13,50.79,1490.52,1307.80,2798.32
random,User2,15.00,90.00,13.20,AP1,89.35,369.20,-75.80,49.13,50.79,1490.52,1307.80,2798.32
random,User3,15.00,90.00,6.00,AP0,89.35,369.20,-75.80,49.13,50.79,1490.52,1307.80,2798.32
random,User0,15.00,90.00,5.70,AP1,48.36,369.20,-86.90,48.21,51.32,1544.86,1272.87,2817.73
random,User1,15.00,90.00,0.00,AP0,48.36,369.20,-86.90,48.21,51.32,1544.86,1272.87,2817.73
random,User2,15.00,90.00,3.00,AP0,48.36,369.20,-86.90,48.21,51.32,1544.86,1272.87,2817.73
random,User3,15.00,90.00,7.20,AP0,48.36,369.20,-86.90,48.21,51.32,1544.86,1272.87,2817.73
random,User0,15.00,90.00,0.30,AP0,369.20,369.20,0.00,48.42,51.06,1538.97,1285.07,2824.04
random,User1,15.00,90.00,0.00,AP0,369.20,369.20,0.00,48.42,51.06,1538.97,1285.07,2824.04
random,User2,15.00,90.00,3.90,AP0,369.20,369.20,0.00,48.42,51.06,1538.97,1285.07,2824.04
random,User3,15.00,90.00,4.20,AP0,369.20,369.20,0.00,48.42,51.06,1538.97,1285.07,2824.04
random,User0,15.00,90.00,0.00,AP0,70.54,369.20,-80.89,48.77,51.60,1506.36,1271.60,2777.96
random,User1,15.00,90.00,13.20,AP0,70.54,369.20,-80.89,48.77,51.60,1506.36,1271.60,2777.96
random,User2,15.00,90.00,4.20,AP0,70.54,369.20,-80.89,48.77,51.60,1506.36,1271.60,2777.96
random,User3,15.00,90.00,9.90,AP1,70.54,369.20,-80.89,48.77,51.60,1506.36,1271.60,2777.96
random,User0,15.00,90.00,11.70,AP0,369.20,369.20,0.00,49.30,51.62,1496.31,1243.54,2739.85
random,User1,15.00,90.00,0.00,AP0,369.20,369.20,0.00,49.30,51.62,1496.31,1243.54,2739.85
random,User2,15.00,90.00,3.90,AP0,369.20,369.20,0.00,49.30,51.62,1496.31,1243.54,2739.85
random,User3,15.00,90.00,0.00,AP0,369.20,369.20,0.00,49.30,51.62,1496.31,1243.54,2739.85
random,User0,15.00,90.00,5.10,AP0,341.20,369.20,-7.58,48.88,51.88,1507.79,1231.22,2739.00
random,User1,15.00,90.00,3.60,AP0,341.20,369.20,-7.58,48.88,51.88,1507.79,1231.22,2739.00
random,User2,15.00,90.00,3.90,AP0,341.20,369.20,-7.58,48.88,51.88,1507.79,1231.22,2739.00
random,User3,15.00,90.00,4.50,AP0,341.20,369.20,-7.58,48.88,51.88,1507.79,1231.22,2739.00
random,User0,15.00,90.00,4.50,AP0,369.20,369.20,0.00,49.43,51.58,1461.85,1255.71,2717.56
random,User1,15.00,90.00,0.00,AP0,369.20,369.20,0.00,49.43,51.58,1461.85,1255.71,2717.56
random,User2,15.00,90.00,2.10,AP0,369.20,369.20,0.00,49.43,51.58,1461.85,1255.71,2717.56
