Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,CenterX,CenterY,VarianceX,VarianceY,TotalPositionVariance
random,User1,15.00,90.00,6.30,AP0,138.67,138.67,0.00,13.91,13.87,57.26,101.56,158.82
random,User0,15.00,90.00,4.20,AP0,135.53,138.67,-2.26,13.84,11.26,100.58,47.95,148.53
random,User1,15.00,90.00,8.70,AP1,135.53,138.67,-2.26,13.84,11.26,100.58,47.95,148.53
random,User0,15.00,90.00,4.20,AP0,123.50,138.67,-10.94,13.84,13.84,100.58,100.58,201.16
random,User1,15.00,90.00,4.20,AP0,123.50,138.67,-10.94,13.84,13.84,100.58,100.58,201.16
random,User0,15.00,90.00,4.20,AP0,135.53,138.67,-2.26,13.84,10.78,100.58,44.03,144.62
random,User1,15.00,90.00,11.10,AP1,135.53,138.67,-2.26,13.84,10.78,100.58,44.03,144.62
random,User0,15.00,90.00,7.80,AP0,144.38,138.67,4.12,12.30,13.97,62.68,40.96,103.63
random,User1,15.00,90.00,2.10,AP0,144.38,138.67,4.12,12.30,13.97,62.68,40.96,103.63
random,User0,15.00,90.00,11.40,AP1,168.85,138.67,21.76,13.20,13.46,15.11,89.57,104.67
random,User1,15.00,90.00,12.60,AP0,168.85,138.67,21.76,13.20,13.46,15.11,89.57,104.67
random,User0,15.00,90.00,1.50,AP0,131.83,138.67,-4.93,13.30,13.84,85.16,100.58,185.74
random,User1,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.30,13.84,85.16,100.58,185.74
random,User0,15.00,90.00,10.50,AP0,144.38,138.67,4.12,11.12,13.94,46.64,56.68,103.32
random,User1,15.00,90.00,0.00,AP0,144.38,138.67,4.12,11.12,13.94,46.64,56.68,103.32
random,User0,15.00,90.00,0.00,AP0,149.76,138.67,8.00,13.28,11.16,70.69,46.99,117.68
random,User1,15.00,90.00,9.30,AP1,149.76,138.67,8.00,13.28,11.16,70.69,46.99,117.68
random,User0,15.00,90.00,1.50,AP0,138.67,138.67,0.00,13.27,12.82,84.47,67.70,152.17
random,User1,15.00,90.00,1.50,AP0,138.67,138.67,0.00,13.27,12.82,84.47,67.70,152.17
random,User0,15.00,90.00,12.00,AP1,156.00,138.67,12.50,10.99,13.95,37.98,66.30,104.28
random,User1,15.00,90.00,1.80,AP0,156.00,138.67,12.50,10.99,13.95,37.98,66.30,104.28
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.82,14.04,99.82,95.13,194.95
random,User1,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.82,14.04,99.82,95.13,194.95
random,User0,15.00,90.00,3.90,AP0,131.83,138.67,-4.93,12.28,13.84,59.96,100.53,160.48
random,User1,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,12.28,13.84,59.96,100.53,160.48
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.02,12.82,77.10,73.43,150.53
random,User1,15.00,90.00,0.90,AP0,138.67,138.67,0.00,13.02,12.82,77.10,73.43,150.53
random,User0,15.00,90.00,4.20,AP0,143.62,138.67,3.57,15.71,11.70,62.78,53.14,115.92
random,User1,15.00,90.00,11.40,AP0,143.62,138.67,3.57,15.71,11.70,62.78,53.14,115.92
random,User0,15.00,90.00,6.30,AP1,149.76,138.67,8.00,13.45,13.74,25.29,97.52,122.80
random,User1,15.00,90.00,9.30,AP0,149.76,138.67,8.00,13.45,13.74,25.29,97.52,122.80
random,User0,15.00,90.00,2.10,AP0,138.67,138.67,0.00,12.82,13.32,73.34,66.96,140.30
random,User1,15.00,90.00,0.30,AP0,138.67,138.67,0.00,12.82,13.32,73.34,66.96,140.30
random,User0,15.00,90.00,3.60,AP0,138.67,138.67,0.00,12.28,12.04,62.39,58.25,120.64
random,User1,15.00,90.00,4.80,AP0,138.67,138.67,0.00,12.28,12.04,62.39,58.25,120.64
random,User0,15.00,90.00,6.30,AP1,149.76,138.67,8.00,12.57,13.14,37.02,81.13,118.15
random,User1,15.00,90.00,4.20,AP0,149.76,138.67,8.00,12.57,13.14,37.02,81.13,118.15
random,User0,15.00,90.00,1.20,AP0,149.76,138.67,8.00,13.24,11.50,83.59,50.60,134.19
random,User1,15.00,90.00,7.50,AP1,149.76,138.67,8.00,13.24,11.50,83.59,50.60,134.19
random,User0,15.00,90.00,9.30,AP1,132.89,138.67,-4.17,11.14,10.90,46.80,44.84,91.64
random,User1,15.00,90.00,10.50,AP1,132.89,138.67,-4.17,11.14,10.90,46.80,44.84,91.64
random,User0,15.00,90.00,0.00,AP0,131.83,138.67,-4.93,13.00,13.84,77.60,100.58,178.18
random,User1,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.00,13.84,77.60,100.58,178.18
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.84,12.70,100.58,70.76,171.34
random,User1,15.00,90.00,1.50,AP0,131.83,138.67,-4.93,13.84,12.70,100.58,70.76,171.34
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.00,12.64,77.60,69.48,147.08
random,User1,15.00,90.00,1.80,AP0,138.67,138.67,0.00,13.00,12.64,77.60,69.48,147.08
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,14.30,13.75,50.57,97.85,148.42
random,User1,15.00,90.00,7.50,AP0,138.67,138.67,0.00,14.30,13.75,50.57,97.85,148.42
random,User0,15.00,90.00,9.30,AP0,131.83,138.67,-4.93,13.92,15.45,103.17,66.32,169.48
random,User1,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.92,15.45,103.17,66.32,169.48
random,User0,15.00,90.00,4.50,AP0,144.38,138.67,4.12,14.37,13.77,24.89,98.33,123.22
random,User1,15.00,90.00,12.00,AP0,144.38,138.67,4.12,14.37,13.77,24.89,98.33,123.22
random,User0,15.00,90.00,8.10,AP0,138.67,138.67,0.00,13.91,14.28,102.66,48.64,151.31
random,User1,15.00,90.00,0.30,AP0,138.67,138.67,0.00,13.91,14.28,102.66,48.64,151.31
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.00,12.94,77.60,76.17,153.77
random,User1,15.00,90.00,0.30,AP0,138.67,138.67,0.00,13.00,12.94,77.60,76.17,153.77
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.00,13.00,77.60,77.60,155.20
random,User1,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.00,13.00,77.60,77.60,155.20
random,User0,15.00,90.00,0.00,AP0,144.38,138.67,4.12,13.79,12.36,59.50,63.84,123.35
random,User1,15.00,90.00,5.10,AP0,144.38,138.67,4.12,13.79,12.36,59.50,63.84,123.35
random,User0,15.00,90.00,10.20,AP0,148.57,138.67,7.14,11.71,15.12,53.31,58.91,112.22
random,User1,15.00,90.00,2.70,AP0,148.57,138.67,7.14,11.71,15.12,53.31,58.91,112.22
random,User0,15.00,90.00,6.30,AP1,149.76,138.67,8.00,12.45,13.11,39.04,80.37,119.41
random,User1,15.00,90.00,3.60,AP0,149.76,138.67,8.00,12.45,13.11,39.04,80.37,119.41
random,User0,15.00,90.00,4.50,AP0,144.38,138.67,4.12,12.96,12.45,41.45,65.53,106.98
random,User1,15.00,90.00,5.10,AP0,144.38,138.67,4.12,12.96,12.45,41.45,65.53,106.98
random,User0,15.00,90.00,3.60,AP0,138.67,138.67,0.00,12.47,13.82,57.95,99.94,157.89
random,User1,15.00,90.00,4.20,AP0,138.67,138.67,0.00,12.47,13.82,57.95,99.94,157.89
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.84,13.60,100.58,93.44,194.02
random,User1,15.00,90.00,3.00,AP0,131.83,138.67,-4.93,13.84,13.60,100.58,93.44,194.02
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.01,13.06,77.21,79.01,156.22
random,User1,15.00,90.00,0.30,AP0,138.67,138.67,0.00,13.01,13.06,77.21,79.01,156.22
random,User0,15.00,90.00,5.40,AP0,138.67,138.67,0.00,13.87,13.94,101.44,69.71,171.15
random,User1,15.00,90.00,1.50,AP0,138.67,138.67,0.00,13.87,13.94,101.44,69.71,171.15
random,User0,15.00,90.00,5.40,AP0,138.67,138.67,0.00,13.86,13.72,100.87,63.53,164.40
random,User1,15.00,90.00,0.30,AP0,138.67,138.67,0.00,13.86,13.72,100.87,63.53,164.40
random,User0,15.00,90.00,11.40,AP0,148.57,138.67,7.14,12.73,14.96,59.98,34.89,94.87
random,User1,15.00,90.00,1.80,AP0,148.57,138.67,7.14,12.73,14.96,59.98,34.89,94.87
random,User0,15.00,90.00,0.90,AP0,138.67,138.67,0.00,12.99,13.30,77.29,75.96,153.24
random,User1,15.00,90.00,0.60,AP0,138.67,138.67,0.00,12.99,13.30,77.29,75.96,153.24
random,User0,15.00,90.00,4.20,AP0,123.50,138.67,-10.94,13.84,13.84,100.58,100.58,201.16
random,User1,15.00,90.00,4.20,AP0,123.50,138.67,-10.94,13.84,13.84,100.58,100.58,201.16
random,User0,15.00,90.00,0.00,AP0,141.82,138.67,2.27,13.00,11.98,77.60,57.28,134.88
random,User1,15.00,90.00,5.10,AP1,141.82,138.67,2.27,13.00,11.98,77.60,57.28,134.88
random,User0,15.00,90.00,10.20,AP0,148.57,138.67,7.14,11.94,13.96,56.43,30.92,87.35
random,User1,15.00,90.00,3.90,AP0,148.57,138.67,7.14,11.94,13.96,56.43,30.92,87.35
random,User0,15.00,90.00,0.30,AP0,149.76,138.67,8.00,13.36,11.65,71.46,52.54,124.01
random,User1,15.00,90.00,6.90,AP1,149.76,138.67,8.00,13.36,11.65,71.46,52.54,124.01
random,User0,15.00,90.00,3.30,AP0,152.36,138.67,9.87,12.56,12.47,67.83,46.45,114.28
random,User1,15.00,90.00,5.10,AP1,152.36,138.67,9.87,12.56,12.47,67.83,46.45,114.28
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.00,12.82,77.60,73.41,151.01
random,User1,15.00,90.00,0.90,AP0,138.67,138.67,0.00,13.00,12.82,77.60,73.41,151.01
random,User0,15.00,90.00,12.00,AP1,156.00,138.67,12.50,11.24,13.87,31.14,101.54,132.68
random,User1,15.00,90.00,5.40,AP0,156.00,138.67,12.50,11.24,13.87,31.14,101.54,132.68
random,User0,15.00,90.00,2.10,AP0,138.67,138.67,0.00,12.67,13.26,70.16,71.05,141.21
random,User1,15.00,90.00,0.00,AP0,138.67,138.67,0.00,12.67,13.26,70.16,71.05,141.21
random,User0,15.00,90.00,0.00,AP0,144.38,138.67,4.12,13.28,12.08,70.72,58.92,129.64
random,User1,15.00,90.00,4.80,AP0,144.38,138.67,4.12,13.28,12.08,70.72,58.92,129.64
random,User0,15.00,90.00,11.10,AP0,148.57,138.67,7.14,11.13,14.19,46.66,52.34,99.01
random,User1,15.00,90.00,0.00,AP0,148.57,138.67,7.14,11.13,14.19,46.66,52.34,99.01
random,User0,15.00,90.00,3.60,AP0,138.67,138.67,0.00,12.28,13.06,62.39,79.05,141.45
random,User1,15.00,90.00,0.30,AP0,138.67,138.67,0.00,12.28,13.06,62.39,79.05,141.45
random,User0,15.00,90.00,3.00,AP0,149.76,138.67,8.00,12.40,11.08,64.64,46.27,110.91
random,User1,15.00,90.00,9.60,AP1,149.76,138.67,8.00,12.40,11.08,64.64,46.27,110.91
random,User0,15.00,90.00,3.60,AP0,144.38,138.67,4.12,12.50,12.74,66.70,49.63,116.33
random,User1,15.00,90.00,3.90,AP0,144.38,138.67,4.12,12.50,12.74,66.70,49.63,116.33
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.84,13.50,100.58,89.53,190.11
random,User1,15.00,90.00,2.40,AP0,131.83,138.67,-4.93,13.84,13.50,100.58,89.53,190.11
random,User0,15.00,90.00,4.20,AP0,138.67,138.67,0.00,14.64,12.10,81.03,59.31,140.34
random,User1,15.00,90.00,6.00,AP0,138.67,138.67,0.00,14.64,12.10,81.03,59.31,140.34
random,User0,15.00,90.00,5.70,AP0,144.38,138.67,4.12,12.68,14.10,70.40,53.92,124.33
random,User1,15.00,90.00,0.00,AP0,144.38,138.67,4.12,12.68,14.10,70.40,53.92,124.33
random,User0,15.00,90.00,13.20,AP0,148.57,138.67,7.14,11.80,15.47,54.56,40.95,95.52
random,User1,15.00,90.00,0.60,AP0,148.57,138.67,7.14,11.80,15.47,54.56,40.95,95.52
random,User0,15.00,90.00,2.70,AP0,138.67,138.67,0.00,15.19,13.99,56.08,92.23,148.31
random,User1,15.00,90.00,9.30,AP0,138.67,138.67,0.00,15.19,13.99,56.08,92.23,148.31
random,User0,15.00,90.00,4.50,AP0,149.22,138.67,7.61,12.66,11.91,48.18,47.09,95.28
random,User1,15.00,90.00,7.20,AP0,149.22,138.67,7.61,12.66,11.91,48.18,47.09,95.28
random,User0,15.00,90.00,6.00,AP0,144.38,138.67,4.12,12.21,14.32,61.08,67.46,128.54
random,User1,15.00,90.00,2.10,AP0,144.38,138.67,4.12,12.21,14.32,61.08,67.46,128.54
random,User0,15.00,90.00,6.30,AP0,138.67,138.67,0.00,15.00,14.81,75.73,80.77,156.51
random,User1,15.00,90.00,7.20,AP0,138.67,138.67,0.00,15.00,14.81,75.73,80.77,156.51
random,User0,15.00,90.00,0.60,AP0,138.67,138.67,0.00,14.08,13.90,49.61,102.39,152.00
random,User1,15.00,90.00,7.50,AP0,138.67,138.67,0.00,14.08,13.90,49.61,102.39,152.00
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,14.55,13.32,82.96,85.80,168.75
random,User1,15.00,90.00,3.90,AP0,131.83,138.67,-4.93,14.55,13.32,82.96,85.80,168.75
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,14.08,12.82,94.08,73.52,167.60
random,User1,15.00,90.00,1.50,AP0,131.83,138.67,-4.93,14.08,12.82,94.08,73.52,167.60
random,User0,15.00,90.00,2.70,AP0,138.67,138.67,0.00,13.59,13.03,90.40,78.42,168.82
random,User1,15.00,90.00,0.30,AP0,138.67,138.67,0.00,13.59,13.03,90.40,78.42,168.82
random,User0,15.00,90.00,1.50,AP0,144.38,138.67,4.12,15.33,13.25,31.64,83.94,115.57
random,User1,15.00,90.00,13.20,AP0,144.38,138.67,4.12,15.33,13.25,31.64,83.94,115.57
random,User0,15.00,90.00,6.60,AP1,149.76,138.67,8.00,12.09,13.25,44.03,83.94,127.97
random,User1,15.00,90.00,2.40,AP0,149.76,138.67,8.00,12.09,13.25,44.03,83.94,127.97
random,User0,15.00,90.00,2.70,AP0,138.67,138.67,0.00,13.76,12.91,85.88,75.52,161.40
random,User1,15.00,90.00,1.20,AP0,138.67,138.67,0.00,13.76,12.91,85.88,75.52,161.40
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.84,13.00,100.58,77.60,178.18
random,User1,15.00,90.00,0.00,AP0,131.83,138.67,-4.93,13.84,13.00,100.58,77.60,178.18
random,User0,15.00,90.00,9.90,AP0,152.82,138.67,10.20,12.26,13.87,39.58,37.66,77.24
random,User1,15.00,90.00,4.20,AP0,152.82,138.67,10.20,12.26,13.87,39.58,37.66,77.24
random,User0,15.00,90.00,0.90,AP0,138.67,138.67,0.00,13.18,13.00,82.05,77.60,159.65
random,User1,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.18,13.00,82.05,77.60,159.65
random,User0,15.00,90.00,7.80,AP0,144.38,138.67,4.12,13.40,13.79,87.90,34.46,122.36
random,User1,15.00,90.00,3.60,AP0,144.38,138.67,4.12,13.40,13.79,87.90,34.46,122.36
random,User0,15.00,90.00,6.90,AP1,170.18,138.67,22.73,13.97,11.79,19.59,54.43,74.02
random,User1,15.00,90.00,13.20,AP0,170.18,138.67,22.73,13.97,11.79,19.59,54.43,74.02
random,User0,15.00,90.00,7.80,AP0,138.67,138.67,0.00,14.22,15.12,93.40,71.61,165.00
random,User1,15.00,90.00,4.50,AP0,138.67,138.67,0.00,14.22,15.12,93.40,71.61,165.00
random,User0,15.00,90.00,4.20,AP0,138.67,138.67,0.00,14.91,12.46,75.47,65.90,141.37
random,User1,15.00,90.00,6.00,AP0,138.67,138.67,0.00,14.91,12.46,75.47,65.90,141.37
random,User0,15.00,90.00,9.30,AP1,149.76,138.67,8.00,11.14,12.46,46.80,65.81,112.60
random,User1,15.00,90.00,2.70,AP0,149.76,138.67,8.00,11.14,12.46,46.80,65.81,112.60
random,User0,15.00,90.00,4.50,AP0,144.38,138.67,4.12,14.91,13.12,75.82,65.56,141.38
random,User1,15.00,90.00,5.40,AP0,144.38,138.67,4.12,14.91,13.12,75.82,65.56,141.38
random,User0,15.00,90.00,8.70,AP0,148.57,138.67,7.14,12.36,14.27,43.22,50.81,94.03
random,User1,15.00,90.00,2.70,AP0,148.57,138.67,7.14,12.36,14.27,43.22,50.81,94.03
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,14.57,13.89,82.61,101.46,184.07
random,User1,15.00,90.00,5.70,AP0,131.83,138.67,-4.93,14.57,13.89,82.61,101.46,184.07
random,User0,15.00,90.00,9.60,AP1,149.76,138.67,8.00,11.08,13.14,46.27,80.05,126.32
random,User1,15.00,90.00,0.60,AP0,149.76,138.67,8.00,11.08,13.14,46.27,80.05,126.32
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.00,13.60,77.60,93.44,171.04
random,User1,15.00,90.00,3.00,AP0,138.67,138.67,0.00,13.00,13.60,77.60,93.44,171.04
random,User0,15.00,90.00,8.40,AP0,138.67,138.67,0.00,13.90,13.70,102.32,35.57,137.89
random,User1,15.00,90.00,3.60,AP0,138.67,138.67,0.00,13.90,13.70,102.32,35.57,137.89
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.84,12.54,100.58,66.61,167.19
random,User1,15.00,90.00,2.40,AP0,131.83,138.67,-4.93,13.84,12.54,100.58,66.61,167.19
random,User0,15.00,90.00,6.30,AP0,131.83,138.67,-4.93,13.87,14.75,101.49,78.67,180.16
random,User1,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.87,14.75,101.49,78.67,180.16
