Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,CenterX,CenterY,VarianceX,VarianceY,TotalPositionVariance
random,User0,15.00,90.00,2.40,AP0,149.76,138.67,8.00,12.72,11.17,71.12,36.28,107.40
random,User1,15.00,90.00,11.10,AP1,149.76,138.67,8.00,12.72,11.17,71.12,36.28,107.40
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.84,13.60,100.58,93.44,194.02
random,User1,15.00,90.00,3.00,AP0,131.83,138.67,-4.93,13.84,13.60,100.58,93.44,194.02
random,User0,15.00,90.00,1.20,AP0,144.38,138.67,4.12,13.65,11.94,73.35,56.61,129.96
random,User1,15.00,90.00,5.70,AP0,144.38,138.67,4.12,13.65,11.94,73.35,56.61,129.96
random,User0,15.00,90.00,7.80,AP0,144.38,138.67,4.12,12.48,14.47,66.17,48.02,114.19
random,User1,15.00,90.00,0.00,AP0,144.38,138.67,4.12,12.48,14.47,66.17,48.02,114.19
random,User0,15.00,90.00,2.70,AP0,138.67,138.67,0.00,12.46,12.58,65.81,68.23,134.03
random,User1,15.00,90.00,2.10,AP0,138.67,138.67,0.00,12.46,12.58,65.81,68.23,134.03
random,User0,15.00,90.00,4.20,AP0,140.62,138.67,1.41,14.46,10.87,85.06,44.61,129.67
random,User1,15.00,90.00,11.10,AP1,140.62,138.67,1.41,14.46,10.87,85.06,44.61,129.67
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.00,12.40,77.60,64.64,142.24
random,User1,15.00,90.00,3.00,AP0,138.67,138.67,0.00,13.00,12.40,77.60,64.64,142.24
random,User0,15.00,90.00,5.10,AP0,138.67,138.67,0.00,13.85,13.57,100.76,64.08,164.85
random,User1,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.85,13.57,100.76,64.08,164.85
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,14.41,13.54,86.16,91.59,177.75
random,User1,15.00,90.00,3.90,AP0,131.83,138.67,-4.93,14.41,13.54,86.16,91.59,177.75
random,User0,15.00,90.00,4.20,AP0,131.83,138.67,-4.93,13.84,12.76,100.58,72.07,172.65
random,User1,15.00,90.00,1.20,AP0,131.83,138.67,-4.93,13.84,12.76,100.58,72.07,172.65
random,User0,15.00,90.00,0.90,AP0,156.00,138.67,12.50,13.44,10.83,60.33,41.67,102.00
random,User1,15.00,90.00,11.70,AP1,156.00,138.67,12.50,13.44,10.83,60.33,41.67,102.00
random,User0,15.00,90.00,1.50,AP0,138.67,138.67,0.00,12.71,13.31,70.92,81.88,152.80
random,User1,15.00,90.00,1.20,AP0,138.67,138.67,0.00,12.71,13.31,70.92,81.88,152.80
random,User0,15.00,90.00,3.90,AP0,146.55,138.67,5.68,15.81,11.22,59.09,45.07,104.16
random,User1,15.00,90.00,13.80,AP0,146.55,138.67,5.68,15.81,11.22,59.09,45.07,104.16
random,User0,15.00,90.00,9.90,AP1,149.76,138.67,8.00,12.01,13.87,27.85,101.58,129.43
random,User1,15.00,90.00,6.60,AP0,149.76,138.67,8.00,12.01,13.87,27.85,101.58,129.43
random,User0,15.00,90.00,10.80,AP0,138.67,138.67,0.00,13.93,14.29,103.24,30.57,133.81
random,User1,15.00,90.00,3.30,AP0,138.67,138.67,0.00,13.93,14.29,103.24,30.57,133.81
random,User0,15.00,90.00,0.00,AP0,138.67,138.67,0.00,13.91,13.87,57.26,101.56,158.82
