Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo,User0,5.00,30.00,5.70,AP0,67.83,65.11,4.18,620.69,889.16,1509.84
myargo,User1,5.00,30.00,5.70,AP0,67.83,65.11,4.18,620.69,889.16,1509.84
myargo,User0,5.00,30.00,5.70,AP0,112.26,112.26,0.00,1390.23,1006.64,2396.88
myargo,User1,5.00,30.00,0.00,AP1,112.26,112.26,0.00,1390.23,1006.64,2396.88
myargo,User0,5.00,30.00,5.70,AP1,71.61,71.61,0.00,1250.54,1716.21,2966.75
myargo,User1,5.00,30.00,5.70,AP1,71.61,71.61,0.00,1250.54,1716.21,2966.75
myargo,User0,5.00,30.00,5.70,AP0,99.27,99.27,0.00,1130.30,618.66,1748.96
myargo,User1,5.00,30.00,0.00,AP1,99.27,99.27,0.00,1130.30,618.66,1748.96
myargo,User0,5.00,30.00,5.70,AP1,68.64,68.64,0.00,1152.13,492.34,1644.47
myargo,User1,5.00,30.00,5.70,AP0,68.64,68.64,0.00,1152.13,492.34,1644.47
myargo,User0,5.00,30.00,5.70,AP1,119.72,119.72,0.00,1170.59,196.63,1367.22
myargo,User1,5.00,30.00,0.00,AP1,119.72,119.72,0.00,1170.59,196.63,1367.22
myargo,User0,5.00,30.00,5.70,AP0,68.64,68.64,0.00,884.21,501.17,1385.37
myargo,User1,5.00,30.00,5.70,AP1,68.64,68.64,0.00,884.21,501.17,1385.37
myargo,User0,5.00,30.00,5.70,AP1,68.64,68.64,0.00,1175.19,1029.90,2205.09
myargo,User1,5.00,30.00,5.70,AP0,68.64,68.64,0.00,1175.19,1029.90,2205.09
myargo,User0,5.00,30.00,5.70,AP1,71.61,71.61,0.00,704.94,586.49,1291.44
myargo,User1,5.00,30.00,5.70,AP1,71.61,71.61,0.00,704.94,586.49,1291.44
myargo,User0,5.00,30.00,5.70,AP1,68.64,68.64,0.00,485.65,250.63,736.28
myargo,User1,5.00,30.00,5.70,AP0,68.64,68.64,0.00,485.65,250.63,736.28
myargo,User0,5.00,30.00,5.70,AP1,99.60,84.42,17.97,981.31,1065.07,2046.38
myargo,User1,5.00,30.00,2.70,AP1,99.60,84.42,17.97,981.31,1065.07,2046.38
myargo,User0,5.00,30.00,5.70,AP1,71.61,71.61,0.00,629.02,250.25,879.27
myargo,User1,5.00,30.00,5.70,AP1,71.61,71.61,0.00,629.02,250.25,879.27
myargo,User0,5.00,30.00,2.70,AP0,70.97,67.83,4.63,412.20,947.69,1359.89
myargo,User1,5.00,30.00,5.70,AP0,70.97,67.83,4.63,412.20,947.69,1359.89
myargo,User0,5.00,30.00,5.70,AP1,75.79,71.96,5.31,1110.47,1008.01,2118.48
myargo,User1,5.00,30.00,2.70,AP0,75.79,71.96,5.31,1110.47,1008.01,2118.48
