Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo,User0,4.95,30.00,2.25,AP0,76.29,74.67,2.18,574.56,5.52,580.08
myargo,User1,4.95,30.00,0.00,AP0,76.29,74.67,2.18,574.56,5.52,580.08
myargo,User0,4.95,30.00,4.95,AP0,70.04,65.11,7.57,622.70,35.80,658.51
myargo,User1,4.95,30.00,5.10,AP0,70.04,65.11,7.57,622.70,35.80,658.51
myargo,User0,4.95,30.00,4.35,AP0,72.64,67.83,7.09,620.05,6.95,627.00
myargo,User1,4.95,30.00,4.95,AP0,72.64,67.83,7.09,620.05,6.95,627.00
myargo,User0,4.95,30.00,0.00,AP0,70.97,70.97,0.00,679.77,35.08,714.85
myargo,User1,4.95,30.00,4.95,AP0,70.97,70.97,0.00,679.77,35.08,714.85
myargo,User0,4.95,30.00,0.00,AP0,70.97,70.97,0.00,585.03,12.79,597.82
myargo,User1,4.95,30.00,5.10,AP0,70.97,70.97,0.00,585.03,12.79,597.82
myargo,User0,4.95,30.00,3.30,AP0,72.64,67.83,7.09,590.15,12.11,602.26
myargo,User1,4.95,30.00,4.95,AP0,72.64,67.83,7.09,590.15,12.11,602.26
myargo,User0,4.95,30.00,0.00,AP0,73.36,73.36,0.00,662.29,38.38,700.67
myargo,User1,4.95,30.00,5.10,AP0,73.36,73.36,0.00,662.29,38.38,700.67
myargo,User0,4.95,30.00,4.80,AP0,74.67,72.64,2.79,611.96,11.14,623.10
myargo,User1,4.95,30.00,0.00,AP0,74.67,72.64,2.79,611.96,11.14,623.10
myargo,User0,4.95,30.00,4.95,AP0,76.08,74.99,1.45,491.34,31.63,522.97
myargo,User1,4.95,30.00,0.00,AP0,76.08,74.99,1.45,491.34,31.63,522.97
myargo,User0,4.95,30.00,0.00,AP0,72.64,70.97,2.35,567.69,32.63,600.32
myargo,User1,4.95,30.00,5.10,AP0,72.64,70.97,2.35,567.69,32.63,600.32
myargo,User0,4.95,30.00,0.00,AP0,70.97,70.97,0.00,633.88,5.61,639.49
myargo,User1,4.95,30.00,5.10,AP0,70.97,70.97,0.00,633.88,5.61,639.49
myargo,User0,4.95,30.00,4.95,AP0,65.11,65.11,0.00,637.95,28.14,666.09
myargo,User1,4.95,30.00,4.95,AP0,65.11,65.11,0.00,637.95,28.14,666.09
myargo,User0,4.95,30.00,4.95,AP0,70.97,67.83,4.63,550.45,26.46,576.91
myargo,User1,4.95,30.00,1.95,AP0,70.97,67.83,4.63,550.45,26.46,576.91
myargo,User0,4.95,30.00,5.10,AP0,65.11,65.11,0.00,735.73,47.42,783.15
myargo,User1,4.95,30.00,4.95,AP0,65.11,65.11,0.00,735.73,47.42,783.15
myargo,User0,4.95,30.00,4.95,AP0,70.04,65.11,7.57,537.26,28.77,566.03
myargo,User1,4.95,30.00,5.10,AP0,70.04,65.11,7.57,537.26,28.77,566.03
myargo,User0,4.95,30.00,4.95,AP0,70.97,70.97,0.00,746.02,19.06,765.08
myargo,User1,4.95,30.00,0.00,AP0,70.97,70.97,0.00,746.02,19.06,765.08
myargo,User0,4.95,30.00,4.95,AP0,70.04,65.11,7.57,573.42,20.28,593.70
myargo,User1,4.95,30.00,4.95,AP0,70.04,65.11,7.57,573.42,20.28,593.70
myargo,User0,4.95,30.00,0.00,AP0,74.67,74.67,0.00,579.00,9.22,588.23
myargo,User1,4.95,30.00,0.00,AP0,74.67,74.67,0.00,579.00,9.22,588.23
myargo,User0,4.95,30.00,5.10,AP0,74.67,73.36,1.78,500.62,14.08,514.70
myargo,User1,4.95,30.00,0.00,AP0,74.67,73.36,1.78,500.62,14.08,514.70
myargo,User0,4.95,30.00,4.95,AP0,72.64,67.83,7.09,571.89,23.47,595.37
myargo,User1,4.95,30.00,3.15,AP0,72.64,67.83,7.09,571.89,23.47,595.37
myargo,User0,4.95,30.00,4.95,AP0,70.97,67.83,4.63,573.85,26.82,600.67
myargo,User1,4.95,30.00,2.70,AP0,70.97,67.83,4.63,573.85,26.82,600.67
myargo,User0,4.95,30.00,3.75,AP0,70.97,67.83,4.63,755.75,26.19,781.94
myargo,User1,4.95,30.00,4.95,AP0,70.97,67.83,4.63,755.75,26.19,781.94
myargo,User0,4.95,30.00,5.10,AP0,72.64,70.97,2.35,656.78,10.01,666.79
myargo,User1,4.95,30.00,0.00,AP0,72.64,70.97,2.35,656.78,10.01,666.79
myargo,User0,4.95,30.00,0.00,AP0,76.29,76.29,0.00,570.19,0.40,570.59
myargo,User1,4.95,30.00,0.00,AP0,76.29,76.29,0.00,570.19,0.40,570.59
myargo,User0,4.95,30.00,0.00,AP0,72.64,70.97,2.35,574.37,23.63,598.01
myargo,User1,4.95,30.00,4.95,AP0,72.64,70.97,2.35,574.37,23.63,598.01
myargo,User0,4.95,30.00,0.00,AP0,77.45,76.08,1.80,533.34,13.54,546.89
myargo,User1,4.95,30.00,2.70,AP0,77.45,76.08,1.80,533.34,13.54,546.89
myargo,User0,4.95,30.00,4.95,AP0,67.83,65.11,4.18,635.87,32.74,668.61
myargo,User1,4.95,30.00,4.95,AP0,67.83,65.11,4.18,635.87,32.74,668.61
myargo,User0,4.95,30.00,5.10,AP0,70.97,70.97,0.00,549.46,30.66,580.12
myargo,User1,4.95,30.00,0.00,AP0,70.97,70.97,0.00,549.46,30.66,580.12
