Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo,User0,15.00,100.00,8.70,AP0,166.40,468.00,-64.44,28.91,28.47,57.38
myargo,User1,15.00,100.00,0.00,AP1,166.40,468.00,-64.44,28.91,28.47,57.38
myargo,User0,15.00,100.00,0.00,AP1,166.40,496.00,-66.45,24.50,17.37,41.87
myargo,User1,15.00,100.00,5.70,AP0,166.40,496.00,-66.45,24.50,17.37,41.87
myargo,User0,15.00,100.00,0.00,AP0,536.00,536.00,0.00,28.42,16.54,44.96
myargo,User1,15.00,100.00,0.00,AP0,536.00,536.00,0.00,28.42,16.54,44.96
myargo,User0,15.00,100.00,5.70,AP0,536.00,512.00,4.69,22.15,16.99,39.14
myargo,User1,15.00,100.00,0.00,AP0,536.00,512.00,4.69,22.15,16.99,39.14
myargo,User0,15.00,100.00,2.70,AP0,520.00,444.00,17.12,21.77,25.30,47.07
myargo,User1,15.00,100.00,8.70,AP0,520.00,444.00,17.12,21.77,25.30,47.07
myargo,User0,15.00,100.00,0.00,AP0,520.00,520.00,0.00,19.03,19.79,38.82
myargo,User1,15.00,100.00,0.00,AP0,520.00,520.00,0.00,19.03,19.79,38.82
myargo,User0,15.00,100.00,2.70,AP0,520.00,444.00,17.12,31.26,17.53,48.79
myargo,User1,15.00,100.00,11.70,AP0,520.00,444.00,17.12,31.26,17.53,48.79
myargo,User0,15.00,100.00,2.70,AP0,520.00,496.00,4.84,30.12,24.66,54.78
myargo,User1,15.00,100.00,0.00,AP0,520.00,496.00,4.84,30.12,24.66,54.78
myargo,User0,15.00,100.00,5.70,AP0,520.00,472.00,10.17,23.95,30.84,54.79
myargo,User1,15.00,100.00,5.70,AP0,520.00,472.00,10.17,23.95,30.84,54.79
myargo,User0,15.00,100.00,5.70,AP0,520.00,472.00,10.17,32.95,18.87,51.82
myargo,User1,15.00,100.00,2.70,AP0,520.00,472.00,10.17,32.95,18.87,51.82
myargo,User0,15.00,100.00,2.70,AP0,166.40,496.00,-66.45,25.31,16.96,42.27
myargo,User1,15.00,100.00,0.00,AP1,166.40,496.00,-66.45,25.31,16.96,42.27
myargo,User0,15.00,100.00,2.70,AP0,520.00,496.00,4.84,22.33,37.85,60.18
myargo,User1,15.00,100.00,0.00,AP0,520.00,496.00,4.84,22.33,37.85,60.18
myargo,User0,15.00,100.00,2.70,AP0,520.00,496.00,4.84,25.60,29.57,55.17
myargo,User1,15.00,100.00,0.00,AP0,520.00,496.00,4.84,25.60,29.57,55.17
myargo,User0,15.00,100.00,0.00,AP0,520.00,92.44,462.50,18.75,36.38,55.13
myargo,User1,15.00,100.00,6.25,AP0,520.00,92.44,462.50,18.75,36.38,55.13
myargo,User0,15.00,100.00,0.00,AP0,520.00,468.00,11.11,32.73,20.53,53.26
myargo,User1,15.00,100.00,8.70,AP0,520.00,468.00,11.11,32.73,20.53,53.26
myargo,User0,15.00,100.00,2.70,AP0,520.00,496.00,4.84,30.40,35.28,65.68
myargo,User1,15.00,100.00,0.00,AP0,520.00,496.00,4.84,30.40,35.28,65.68
myargo,User0,15.00,100.00,0.00,AP0,520.00,496.00,4.84,17.48,18.24,35.72
myargo,User1,15.00,100.00,5.70,AP0,520.00,496.00,4.84,17.48,18.24,35.72
myargo,User0,15.00,100.00,0.00,AP0,520.00,520.00,0.00,22.40,21.47,43.87
myargo,User1,15.00,100.00,0.00,AP0,520.00,520.00,0.00,22.40,21.47,43.87
myargo,User0,15.00,100.00,0.00,AP0,536.00,536.00,0.00,19.15,26.24,45.39
myargo,User1,15.00,100.00,0.00,AP0,536.00,536.00,0.00,19.15,26.24,45.39
myargo,User0,15.00,100.00,0.00,AP0,520.00,468.00,11.11,30.20,24.13,54.33
myargo,User1,15.00,100.00,8.70,AP0,520.00,468.00,11.11,30.20,24.13,54.33
myargo,User0,15.00,100.00,5.70,AP0,520.00,472.00,10.17,17.35,33.69,51.04
myargo,User1,15.00,100.00,5.70,AP0,520.00,472.00,10.17,17.35,33.69,51.04
