Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,CenterX,CenterY,VarianceX,VarianceY,TotalPositionVariance
random,User0,15.00,90.00,0.00,AP0,146.27,127.28,14.92,12.62,10.39,41.78,67.90,109.67
random,User1,15.00,90.00,11.10,AP0,146.27,127.28,14.92,12.62,10.39,41.78,67.90,109.67
random,User0,15.00,90.00,6.00,AP0,146.27,127.28,14.92,10.04,11.48,57.27,48.25,105.52
random,User1,15.00,90.00,0.30,AP0,146.27,127.28,14.92,10.04,11.48,57.27,48.25,105.52
random,User0,15.00,90.00,14.10,AP0,159.90,127.28,25.63,10.03,13.02,55.43,37.43,92.86
random,User1,15.00,90.00,0.90,AP0,159.90,127.28,25.63,10.03,13.02,55.43,37.43,92.86
random,User0,15.00,90.00,4.20,AP0,143.78,127.28,12.96,13.36,9.55,65.93,46.33,112.27
random,User1,15.00,90.00,11.40,AP0,143.78,127.28,12.96,13.36,9.55,65.93,46.33,112.27
random,User0,15.00,90.00,2.70,AP0,127.28,127.28,0.00,11.18,11.82,52.93,86.12,139.05
random,User1,15.00,90.00,6.00,AP0,127.28,127.28,0.00,11.18,11.82,52.93,86.12,139.05
random,User0,15.00,90.00,8.40,AP0,159.90,127.28,25.63,9.32,11.69,41.45,48.06,89.51
random,User1,15.00,90.00,0.00,AP0,159.90,127.28,25.63,9.32,11.69,41.45,48.06,89.51
random,User0,15.00,90.00,2.40,AP0,103.87,127.28,-18.40,10.88,11.24,83.18,95.59,178.77
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,10.88,11.24,83.18,95.59,178.77
random,User0,15.00,90.00,4.20,AP0,74.26,127.28,-41.65,11.23,11.38,95.16,92.50,187.67
random,User1,15.00,90.00,4.20,AP0,74.26,127.28,-41.65,11.23,11.38,95.16,92.50,187.67
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.94,11.19,58.18,93.95,152.13
random,User1,15.00,90.00,4.80,AP0,127.28,127.28,0.00,10.94,11.19,58.18,93.95,152.13
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.40,9.68,68.24,49.29,117.53
random,User1,15.00,90.00,3.60,AP0,127.28,127.28,0.00,10.40,9.68,68.24,49.29,117.53
random,User0,15.00,90.00,12.30,AP0,146.27,127.28,14.92,13.16,13.62,68.33,67.48,135.80
random,User1,15.00,90.00,10.50,AP0,146.27,127.28,14.92,13.16,13.62,68.33,67.48,135.80
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,11.81,11.32,46.89,98.41,145.30
random,User1,15.00,90.00,8.40,AP0,127.28,127.28,0.00,11.81,11.32,46.89,98.41,145.30
random,User0,15.00,90.00,2.10,AP0,127.28,127.28,0.00,9.98,10.46,56.68,70.01,126.69
random,User1,15.00,90.00,0.30,AP0,127.28,127.28,0.00,9.98,10.46,56.68,70.01,126.69
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,11.72,11.01,85.63,87.57,173.20
random,User1,15.00,90.00,3.90,AP0,103.87,127.28,-18.40,11.72,11.01,85.63,87.57,173.20
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.40,10.58,68.24,73.63,141.87
random,User1,15.00,90.00,0.90,AP0,127.28,127.28,0.00,10.40,10.58,68.24,73.63,141.87
random,User0,15.00,90.00,0.00,AP0,159.90,127.28,25.63,12.55,9.46,42.03,44.43,86.46
