Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User5,15.00,N/A,1.53,AP0,1829.42,1808.45,1.16,169.38,146.39,315.77
random,User6,15.00,N/A,11.91,AP0,1829.42,1808.45,1.16,169.38,146.39,315.77
random,User7,15.00,N/A,8.59,AP0,1829.42,1808.45,1.16,169.38,146.39,315.77
random,User8,15.00,N/A,7.19,AP2,1829.42,1808.45,1.16,169.38,146.39,315.77
random,User9,15.00,N/A,6.92,AP3,1829.42,1808.45,1.16,169.38,146.39,315.77
random,User0,15.00,N/A,0.92,AP0,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User1,15.00,N/A,4.67,AP2,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User2,15.00,N/A,3.13,AP3,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User3,15.00,N/A,0.18,AP3,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User4,15.00,N/A,11.53,AP0,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User5,15.00,N/A,8.39,AP2,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User6,15.00,N/A,5.09,AP2,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User7,15.00,N/A,5.96,AP2,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User8,15.00,N/A,5.52,AP2,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User9,15.00,N/A,10.20,AP1,1850.16,1848.36,0.10,170.75,155.36,326.11
random,User0,15.00,N/A,13.77,AP0,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User1,15.00,N/A,11.45,AP0,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User2,15.00,N/A,2.08,AP0,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User3,15.00,N/A,1.28,AP1,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User4,15.00,N/A,10.19,AP0,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User5,15.00,N/A,8.19,AP2,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User6,15.00,N/A,6.08,AP0,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User7,15.00,N/A,7.44,AP0,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User8,15.00,N/A,7.48,AP0,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User9,15.00,N/A,12.10,AP0,1757.11,1753.31,0.22,166.00,138.50,304.50
random,User0,15.00,N/A,14.50,AP2,1851.36,1831.58,1.08,179.01,142.47,321.48
random,User1,15.00,N/A,2.39,AP1,1851.36,1831.58,1.08,179.01,142.47,321.48
random,User2,15.00,N/A,9.27,AP3,1851.36,1831.58,1.08,179.01,142.47,321.48
random,User3,15.00,N/A,1.19,AP0,1851.36,1831.58,1.08,179.01,142.47,321.48
random,User4,15.00,N/A,11.38,AP0,1851.36,1831.58,1.08,179.01,142.47,321.48
random,User5,15.00,N/A,0.09,AP3,1851.36,1831.58,1.08,179.01,142.47,321.48
random,User6,15.00,N/A,7.03,AP1,1851.36,1831.58,1.08,179.01,142.47,321.48
